222301	  694.8	  487.5	  666.0	...
222302	  694.9	  487.6	  666.0	...
222303	  694.8	  487.6	  665.0	...
222304	  695.3	  488.5	  664.0	...
222305	  695.8	  489.4	  664.0	...
222306	  696.6	  490.4	  665.0	...
222307	  697.0	  489.6	  666.0	...
222308	  697.4	  488.4	  667.0	...
222309	  697.6	  487.2	  667.0	...
222310	  697.5	  486.9	  668.0	...
222311	  697.1	  488.6	  668.0	...
222312	  696.8	  490.3	  666.0	...
222313	  695.8	  491.7	  664.0	...
222314	  695.0	  491.6	  665.0	...
222315	  694.4	  491.7	  666.0	...
222316	  695.5	  492.1	  668.0	...
222317	  696.6	  492.5	  666.0	...
222318	  696.2	  491.4	  665.0	...
222319	  695.0	  490.2	  664.0	...
222320	  693.7	  490.6	  664.0	...
222321	  693.6	  492.2	  665.0	...
222322	  693.2	  493.6	  667.0	...
222323	  693.0	  493.0	  670.0	...
222324	  692.9	  492.4	  672.0	...
222325	  693.5	  492.0	  672.0	...
222326	  694.0	  491.5	  670.0	...
222327	  694.3	  490.8	  667.0	...
222328	  694.3	  490.3	  668.0	...
222329	  694.0	  490.0	  670.0	...
222330	  693.8	  489.3	  672.0	...
222331	  693.9	  488.6	  673.0	...
222332	  694.3	  487.4	  674.0	...
222333	  695.0	  487.2	  674.0	...
222334	  695.5	  486.9	  675.0	...
222335	  696.1	  486.7	  675.0	...
222336	  695.9	  486.3	  674.0	...
222337	  695.3	  485.8	  673.0	...
222338	  694.8	  485.9	  673.0	...
222339	  694.7	  486.2	  672.0	...
222340	  694.8	  486.5	  672.0	...
222341	  694.9	  486.7	  672.0	...
222342	  695.1	  486.7	  672.0	...
222343	  694.9	  487.2	  674.0	...
222344	  694.6	  487.6	  676.0	...
222345	  694.1	  488.1	  677.0	...
222346	  693.4	  488.4	  676.0	...
222347	  692.7	  488.6	  675.0	...
222348	  692.3	  488.8	  675.0	...
222349	  692.3	  490.0	  675.0	...
222350	  692.8	  491.2	  675.0	...
222351	  693.1	  492.5	  675.0	...
222352	  693.5	  492.6	  676.0	...
222353	  693.5	  492.1	  678.0	...
222354	  693.7	  491.6	  677.0	...
222355	  693.9	  491.6	  676.0	...
222356	  693.3	  492.2	  675.0	...
222357	  692.2	  492.2	  676.0	...
222358	  691.2	  491.3	  677.0	...
222359	  691.5	  490.1	  677.0	...
222360	  692.3	  488.3	  677.0	...
222361	  693.2	  486.9	  678.0	...
222362	  693.5	  485.9	  678.0	...
222363	  693.6	  486.4	  679.0	...
222364	  693.4	  486.9	  679.0	...
222365	  692.1	  487.5	  678.0	...
222366	  690.8	  487.4	  677.0	...
222367	  690.6	  487.3	  677.0	...
222368	  691.5	  487.5	  677.0	...
222369	  692.4	  488.0	  677.0	...
222370	  692.4	  488.4	  677.0	...
222371	  691.6	  488.3	  677.0	...
EFIX R   222193	222371	179	  696.3	  487.9	    659
